1 4 6 0
9 6 5 5 5 4 
0.000000 20.000000 40.000000 60.000000 80.000000 100.000000 
0.000000 10.000000 22.000000 34.000000 47.000000 60.000000 73.000000 86.000000 100.000000 
0.000000 20.000000 40.000000 60.000000 80.000000 100.000000 
0.000000 25.000000 50.000000 75.000000 100.000000 
0.000000 25.000000 50.000000 75.000000 100.000000 
0.000000 25.000000 50.000000 75.000000 100.000000 
0.000000 33.000000 66.000000 100.000000 
96.283300 	 0.610400 	 -2.952000
92.128300 	 8.905500 	 -5.051500
85.096400 	 23.569200 	 -8.433300
80.006000 	 34.571200 	 -10.357700
74.733900 	 46.057900 	 -11.913000
69.585500 	 57.043900 	 -12.676000
64.246600 	 68.114200 	 -12.079600
58.878000 	 77.514300 	 -8.483600
51.447700 	 82.150500 	 12.837100
93.074400 	 -3.645400 	 -7.245100
89.214500 	 4.598700 	 -9.117300
82.253600 	 19.115000 	 -12.343400
77.040400 	 30.243300 	 -14.473600
71.778700 	 41.337300 	 -16.165800
66.597600 	 52.237900 	 -17.017000
61.174300 	 63.950000 	 -16.605400
55.574100 	 72.896000 	 -13.694200
46.986600 	 75.587500 	 5.289800
87.288500 	 -11.711600 	 -14.995500
83.426600 	 -3.759900 	 -16.786600
76.966700 	 10.407600 	 -19.618300
71.715400 	 21.529300 	 -21.896100
66.191300 	 32.694300 	 -24.038200
60.794500 	 43.996700 	 -25.430400
55.056600 	 55.073800 	 -25.937100
49.227700 	 64.633100 	 -23.785600
39.284500 	 64.774700 	 -8.082200
82.397700 	 -19.526900 	 -21.405100
78.483700 	 -12.171700 	 -23.359900
71.994100 	 2.149900 	 -26.192600
66.773500 	 12.993200 	 -28.761900
61.281800 	 24.366300 	 -31.058300
56.266800 	 35.682300 	 -31.979100
50.465000 	 46.870000 	 -32.753700
44.148900 	 57.391700 	 -31.422300
34.002800 	 56.556000 	 -16.656800
77.757200 	 -25.559300 	 -27.289000
74.157000 	 -18.490300 	 -28.978800
67.623600 	 -4.887100 	 -31.932600
62.534300 	 6.003900 	 -34.206000
57.173200 	 17.162600 	 -36.535300
51.290200 	 29.038700 	 -38.806900
45.581600 	 40.783000 	 -39.709800
39.145100 	 50.806800 	 -38.840600
29.205300 	 49.626600 	 -24.984300
73.205100 	 -32.204600 	 -32.931000
69.650000 	 -25.094500 	 -34.539000
63.152700 	 -11.560800 	 -37.550200
58.177400 	 -1.515400 	 -40.056200
52.335800 	 10.305500 	 -42.945800
46.838900 	 21.987100 	 -44.967200
40.895600 	 34.090200 	 -46.404100
34.238300 	 44.608300 	 -46.186400
25.104200 	 43.103900 	 -31.922900
67.698500 	 -39.816800 	 -39.271400
64.339500 	 -32.518600 	 -40.670100
57.878400 	 -20.179600 	 -43.986600
52.764300 	 -9.027300 	 -46.677000
47.483600 	 2.239900 	 -49.240400
41.369700 	 13.984200 	 -52.387800
35.424700 	 26.213100 	 -54.242100
28.896300 	 37.594000 	 -54.204500
20.802500 	 36.400100 	 -39.506400
61.669200 	 -45.444700 	 -45.407200
58.111100 	 -38.728400 	 -47.198300
52.126400 	 -25.562400 	 -49.922400
47.151100 	 -14.708700 	 -52.457800
41.957600 	 -3.889800 	 -55.154400
36.301200 	 8.598600 	 -57.737800
30.388900 	 20.856100 	 -59.790600
24.181400 	 32.502300 	 -59.772900
19.045000 	 31.004200 	 -42.998700
50.700900 	 -42.682600 	 -52.974900
47.788600 	 -36.107500 	 -54.258900
42.464300 	 -23.543000 	 -56.893500
38.098000 	 -13.097000 	 -59.099300
33.748800 	 -2.581100 	 -61.214200
29.122400 	 7.965800 	 -62.923600
24.201800 	 19.254800 	 -64.164700
19.542400 	 28.162400 	 -62.539500
18.847200 	 22.866800 	 -46.315600
95.653900 	 -0.515000 	 3.466800
91.525800 	 7.871700 	 1.354600
84.808300 	 22.149700 	 -2.412400
79.456300 	 33.516200 	 -4.552000
74.239700 	 44.871700 	 -6.331300
69.163300 	 55.682900 	 -7.400000
63.752800 	 66.686500 	 -6.917400
58.464600 	 76.247100 	 -3.634700
51.183600 	 81.317700 	 16.466100
92.567300 	 -4.901600 	 -0.765300
88.591000 	 3.441100 	 -2.660300
81.645200 	 17.813400 	 -6.314400
76.610200 	 28.379900 	 -8.760700
71.205200 	 39.797400 	 -10.709600
65.932000 	 51.269100 	 -11.946900
60.808600 	 61.781100 	 -11.427500
55.229100 	 71.048200 	 -8.281900
46.706300 	 74.103000 	 9.113200
86.734800 	 -13.032000 	 -8.480700
83.045500 	 -5.204900 	 -10.074700
76.582800 	 8.048000 	 -13.303600
71.354500 	 19.432700 	 -15.487400
66.143400 	 30.401400 	 -17.686500
60.563400 	 41.860100 	 -19.500500
54.988100 	 53.069300 	 -19.607100
49.082100 	 62.878100 	 -18.021000
39.635900 	 63.053600 	 -3.159300
81.881400 	 -20.740600 	 -14.683300
78.175500 	 -12.961300 	 -16.615500
71.539700 	 0.468300 	 -19.851500
66.526600 	 11.410800 	 -22.269700
61.233200 	 22.169900 	 -24.452300
55.618100 	 33.926600 	 -26.299700
49.848500 	 45.267700 	 -27.626400
43.484900 	 55.266600 	 -26.598900
33.671600 	 54.477300 	 -13.409300
77.250000 	 -28.062300 	 -20.689600
73.666400 	 -20.507500 	 -22.340000
67.371700 	 -6.649500 	 -25.573500
61.950500 	 3.478100 	 -28.413500
56.546800 	 14.864300 	 -31.189800
50.973000 	 26.042500 	 -33.200700
44.748800 	 38.158700 	 -34.934300
38.561300 	 48.377900 	 -34.402800
28.846400 	 47.028500 	 -21.956200
72.402700 	 -36.170900 	 -26.840800
