REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,HP Greeting Cards,Greeting Cards,Mother's Day,,,3025584,20,Someone We Love<br>Add-a-Photo,45422,99,153,259,400,<b>Cover Verse:</b><br><br>Something Special<br>for You.<br>Mom.<br>from Sam and Sarah<br><br><b>Inside Verse:</b><br><br>You're someone very special.<br>someone very dear.<br>Someone we appreciate<br>and love more every year...<br><br>You're someone<br>who should always have<br>life's very nicest things.<br>And that's the very special wish<br>our loving message brings.<br><br>Happy Mother's Day
XC,HP Greeting Cards,Greeting Cards,Christmas,,,3067246,5,A Magical Christmas<br>Add-a-Photo,45423,153,99,400,259,<b>Cover Verse:</b><br><br>Wishing you<br>a magical.<br>merry Christmas.<br>Katie...<br><br><b>Inside Verse:</b><br><br>...and a new year<br>bright with dreams<br>come true.<br><br>John and Mary Carpenter<br>
XC,HP Greeting Cards,Greeting Cards,Christmas,,,3023595,10,Happy Holidays<br>Add-a-Photo,45423,153,99,400,259,<b>Cover Verse:</b><br><br>For<br>Brandy<br>and Her<br>Special<br>Family<br><br><b>Inside Verse:</b><br><br>May your home be filled<br>with happiness<br>and your hearts be filled<br>with love &#151;<br>at Christmas and always!<br><br>Have a Beautiful Season
XC,HP Greeting Cards,Greeting Cards,Christmas,,,3055069,15,Very Special Person<br>Add-a-Photo,45423,153,99,400,259,<b>Cover Verse:</b><br><br>Debbie.<br>Some people have a special gift<br>for making others happy...<br><br><b>Inside Verse:</b><br><br>Merry Christmas<br>to one of those very special people.
XC,HP Greeting Cards,Greeting Cards,Christmas,,,3023594,20,My Christmas Wishes for You<br>Add-a-Photo,45423,153,99,400,259,<b>Cover Verse:</b><br><br>To Wish You<br> a Merry Christmas.<br>Steve<br><br><b>Inside Verse:</b><br><br>I wish you<br>all the joys <br>of Christmas.<br>I wish you<br>the best<br>life has to offer<br>in the new year.<br>I wish you<br>happiness<br>today and always.
XC,HP Greeting Cards,Greeting Cards,Christmas,,,3023593,30,Happy Holidays<br>Add-a-Photo,45423,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Holidays.<br>Martha...<br><br><b>Inside Verse:</b><br><br>&#147;The lamps are lit. <br>the fires burn bright. <br>The house is full<br>of love and light.&#148;<br><br>Greetings of the season<br>with a wish for nothing less<br>Than all that fills your holidays<br>with joy and happiness.
XC,HP Greeting Cards,Greeting Cards,Christmas,,,2013754,40,You and Your Family,45423,153,115,400,300,<b>Cover Verse:</b><br>Happy Holidays. Adrian<br><br><br><b>Inside Verse:</b><br>Greetings and best wishes to you and your family for a wonderful holiday season.<br>
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3041233,5,We Actually Graduated!<br>Add-a-Photo,45424,153,99,400,259,<b>Cover Verse:</b><br><br>Hey. Ashley!<br><br>We graduated!<br><br><b>Inside Verse:</b><br><br>Can we pull off<br>a scam or what?!<br>
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,2013795,10,Confetti & Streamers,45424,115,153,300,400,<b>Cover Verse:</b><br>A New Year's Wish Especially for You. Pat<br><br><br><b>Inside Verse:</b><br>This greeting comes with thoughts of you and wishes for good cheer&#133;But most of all. a world of love to warm your heart all year!<br>
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3044191,25,Best Grandparents<br>Add-a-Photo,45424,153,118,400,309,<b>Cover Verse:</b><br><br>World's Best Grandparents<br><br>Grandma and Grandpa Ryan<br><br><b>Inside Verse:</b><br><br>For love and care<br>and fun we share<br>each time that<br>we're together...<br><br>This comes to say<br>that you're the best<br>grandma and grandpa ever!<br><br>Happy Grandparents Day!
