REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3025612,30,Determination and Work<br>Add-a-Photo,45424,153,99,400,259,<b>Cover Verse:</b><br><br>Edmond.<br>Your determination<br>and hard work<br>have brought you<br>to this Graduation Day...<br><br><b>Inside Verse:</b><br><br>Congratulations<br>and sincere wishes<br>for all life's very best.
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3025576,40,Hope Love Shows!<br>Add-a-Photo,45424,99,153,259,400,<b>Cover Verse:</b><br><br>For You.<br>Grandpa.<br>from<br>Kayla and Zach<br><br>Who makes happy smiles appear<br>Every time that he is near?<br><br><b>Inside Verse:</b><br><br>Who is loved more<br>than he knows?<br>You are. Grandpa!<br>Hope it shows!<br><br>Happy Father's Day
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3056288,50,Your Special Way<br>Add-a-Photo,45424,153,99,400,259,<b>Cover Verse:</b><br><br>Happy Father's Day.<br>Steve...<br><br><b>Inside Verse:</b><br><br>You have<br>a special way<br>of sharing your life.
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3021804,55,Friendly Boo<br>Add-a-Photo,45424,99,153,259,400,<b>Cover Verse:</b><br><br>Hey. Jenny &#151;<br>Boo!<br><br><b>Inside Verse:</b><br><br>It's only me<br>With a friendly &#147;BOO!&#148;<br>Just to let you know<br>That I'm thinking of you!
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3056300,60,Possessed Card!<br>Add-a-Photo,45424,99,153,259,400,<b>Cover Verse:</b><br><br>WARNING.<br>MARY BETH!<br><br>This Halloween card<br>is POSSESSED!<br><br><b>Inside Verse:</b><br><br>By someone very special!<br><br>Happy Halloween
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3022486,70,A Lovely Thanksgiving<br>Add-a-Photo,45424,153,99,400,259,<b>Cover Verse:</b><br><br>For you.<br>Aunt Sally<br><br><b>Inside Verse:</b><br><br>Wishing you the real old-fashioned pleasures<br>of a lovely Thanksgiving Day.
XC,HP Greeting Cards,Greeting Cards,More Holidays,,,3022487,80,Be Thankful for Me!<br>Add-a-Photo,45424,99,153,259,400,<b>Cover Verse:</b><br><br><b>Inside Verse:</b><br>...just one more thing <br>for you to be thankful for!<br><br>Happy Thanksgiving from Chris!
XE,HP Greeting Cards,Envelopes,Half Fold,,,3025883,10,Filled with Love<br>Add-a-Photo,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3025740,20,Surprise!<br>Add-a-Photo,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3042547,30,Balloons and Gifts,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3042575,40,Mega Me Open This Letter,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3044201,50,Grandma's House,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3042358,60,Springtime Gathering,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Half Fold,,,3040589,70,Love is Eternal,45428,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Quarter Fold,,,3025747,10,Cosmic Connection,45430,153,116,400,304,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Quarter Fold,,,3042499,20,Winter Trees,45430,153,116,400,304,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,HP Greeting Cards,Envelopes,Quarter Fold,,,3042488,30,Lifetime Love,45430,153,116,400,304,<B>Envelopes</B> are the first thing a recipient sees when getting a piece of mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>You'll need:</B> Quarter-fold envelope. 4&#188; x 5 &#189; inches.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>These envelopes can be used for quarter-fold greeting cards. notes. and brochures.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
