Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
5159 Address	12240	15840	2	7	225	360	5760	2160	6031	2160	1	270	0	1	0	0		1440
5159 Address	15840	12240	7	2	360	225	2160	5760	2160	6031	1	270	0	0	0	0		1440
5160 Address	12240	15840	3	10	271	720	3780	1440	3940	1440	1	270	0	1	0	0		1440
5160 Address	15840	12240	10	3	720	271	1440	3780	1440	3960	1	270	0	0	0	0		1440
5161 Address	12240	15840	2	10	225	720	5760	1440	6031	1440	1	270	0	1	0	0		1440
5161 Address	15840	12240	10	2	720	225	1440	5760	1440	6031	1	270	0	0	0	0		1440
5162 Address	12240	15840	2	7	225	1200	5760	1920	6031	1920	1	270	0	1	0	0		1440
5162 Address	15840	12240	7	2	1200	225	1920	5760	1920	6031	1	270	0	0	0	0		1440
5163 Address/Shipping	12240	15840	2	5	225	720	5760	2880	6031	2880	1	540	0	1	0	0		1440
5163 Address/Shipping	15840	12240	5	2	720	225	2880	5760	2880	6031	1	540	0	0	0	0		1440
5164 Address/Shipping	12240	15840	2	3	225	720	5760	4800	6031	4800	1	540	0	1	0	0		1440
5165 Address/Shipping	15840	12240	3	2	720	225	4800	5760	4800	6031	1	540	0	0	0	0		1440
5165 Full Sheet	15840	12240	1	1	0	0	15840	12240	15840	12240	0	0	0	0	0	0		1440
5165 Full Sheet	12240	15840	1	1	0	0	12240	15840	12240	15840	0	0	0	1	0	0		1440
5182 Laser Transparencies	15840	12240	1	1	0	0	15840	12240	15840	12240	0	0	0	0	0	0		1440
5182 Laser Transparencies	12240	15840	1	1	0	0	12240	15840	12240	15840	0	0	0	1	0	0		1440
5183 Laser ColorFrames Blue	15840	12240	1	1	1080	1260	13680	9720	15840	12240	1	900	0	0	0	0		1440
5183 Laser ColorFrames Blue	12240	15840	1	1	1260	1080	9720	13680	12240	15840	1	900	0	1	0	0		1440
5184 Laser ColorFrames Red	15840	12240	1	1	1080	1260	13680	9720	15840	12240	1	900	0	0	0	0		1440
5184 Laser ColorFrames Red	12240	15840	1	1	1260	1080	9720	13680	12240	15840	1	900	0	1	0	0		1440
5185 Laser ColorFrames Green	15840	12240	1	1	1080	1260	13680	9720	15840	12240	1	900	0	0	0	0		1440
